0.0	00 cold open: fund
8.2	00 cold open: BindingMismatch
23.9	TITLE Reckn
28.5	CARD the door
34.6	CARD 01 Nobody could have overridden that.
51.7	CARD 02 The deal's own proof releases it.
58.0	02 evidence: release
65.8	02 evidence: refund
75.8	CARD 03 And nobody approved it.
80.6	03 evidence: what it replaces
89.6	CARD 04 Only the proof crosses.
93.1	17 SVG: out to Arc, scope held
102.2	CARD 05 The money never left Arc.
107.1	04 evidence: four settlements
118.1	CARD 06 A proof of the payout. Not a proof of the state.
124.9	06 evidence: the two rows
138.6	07 evidence: typing
152.7	CARD close
160.7	END
